match_id,team,start_minute,end_minute,pass_count,score_context,phase_context,intensity_context,density,clustering_coefficient,avg_betweenness_centrality,avg_eigenvector_centrality,avg_path_length,centralization
3773587,Barcelona,30,40,81,tied,middle,low,0.04591836734693878,0.03714348573471719,0.024628617979681806,0.10671373453817871,3.6731182795698927,0.09991496598639454
3773587,Barcelona,35,45,58,tied,middle,low,0.036564625850340135,0.030284264181742567,0.0347306653157717,0.12038258776834979,4.251612903225807,0.08843537414965986
3773587,Getafe,35,45,28,tied,middle,low,0.017857142857142856,0.026996616530071425,0.0021670606776989757,0.07706645589716328,3.0714285714285716,0.044642857142857144
3773587,Barcelona,40,50,67,tied,middle,low,0.04081632653061224,0.042627114012618844,0.02794704015448696,0.10970809139231247,3.471264367816092,0.10501700680272108
3773587,Getafe,40,50,22,tied,middle,low,0.012755102040816327,0.0,0.006895193065405831,0.1545826149766111,3.257575757575758,0.070578231292517
3773587,Barcelona,45,55,70,tied,middle,low,0.04421768707482993,0.08136426036766138,0.047559945964201274,0.12033527356159328,4.349579831932773,0.10161564625850339
3773587,Getafe,45,55,20,tied,middle,low,0.011904761904761904,0.0,0.0016797312430011197,0.12236446908101144,2.6666666666666665,0.07142857142857142
3773587,Barcelona,50,60,44,tied,middle,low,0.027210884353741496,0.020696674701576406,0.016760859929078012,0.08098948375978926,4.247619047619048,0.05612244897959183
3773587,Getafe,50,60,34,tied,middle,low,0.022108843537414966,0.0,0.02060405967229151,0.1257246054010648,4.367965367965368,0.0820578231292517
3773587,Barcelona,55,65,55,tied,middle,low,0.03486394557823129,0.0077382163913587085,0.028081729145558936,0.09066069991337304,4.29064039408867,0.13180272108843538
3773587,Getafe,55,65,29,tied,middle,low,0.0195578231292517,0.0,0.030248226950354607,0.09306567965705509,4.798418972332016,0.06377551020408162
3773587,Barcelona,60,70,60,tied,late,low,0.04081632653061224,0.017516335458289737,0.05176566193853428,0.09557677547762393,4.943100995732575,0.06335034013605442
3773587,Barcelona,65,75,64,tied,late,low,0.039965986394557826,0.041268411563840104,0.02762073623775751,0.08629159510697693,3.4623655913978495,0.12670068027210885
3773587,Barcelona,70,80,78,tied,late,low,0.04591836734693878,0.02413361784060545,0.034281011951667974,0.10403855050647808,3.679144385026738,0.07908163265306123
3773587,Barcelona,75,85,71,tied,late,low,0.045068027210884355,0.02567838523059167,0.04716152322535301,0.08302616777762707,4.420168067226891,0.07993197278911565
3773587,Getafe,75,85,23,tied,late,low,0.015306122448979591,0.02999812023559222,0.0055935494765281995,0.08918532308967102,2.9545454545454546,0.06802721088435373
3773587,Barcelona,80,90,64,tied,late,low,0.04336734693877551,0.05626446598284632,0.037979601942367894,0.10291395223417624,4.10873440285205,0.10246598639455781
3773587,Getafe,80,90,21,tied,late,low,0.013605442176870748,0.021427228739708728,0.0012491940683430043,0.10096234840853265,2.4761904761904763,0.04889455782312925
3773656,Barcelona,0,10,86,tied,early,low,0.055272108843537414,0.03373086808885316,0.03606548593250721,0.07870487238015036,3.575075075075075,0.11139455782312924
3773656,Atlético Madrid,0,10,52,tied,early,low,0.031462585034013606,0.021761757496660053,0.06955308719232374,0.062062346475375146,6.044563279857398,0.07270408163265304
3773656,Barcelona,5,15,67,tied,early,low,0.04251700680272109,0.017517006802721086,0.028560874704491722,0.09725147941103879,3.8004032258064515,0.06164965986394556
3773656,Atlético Madrid,5,15,52,tied,early,low,0.031462585034013606,0.014659782131553391,0.0499501329787234,0.08015856587519998,4.872983870967742,0.09353741496598639
3773656,Barcelona,10,20,90,tied,early,low,0.05187074829931973,0.024730720444433953,0.03861132218844985,0.0899867563761492,4.468253968253968,0.07312925170068027
3773656,Atlético Madrid,10,20,51,tied,early,low,0.02976190476190476,0.02585034013605442,0.04770075497597803,0.09197028553854725,5.551724137931035,0.07440476190476189
3773656,Barcelona,15,25,71,tied,early,low,0.041666666666666664,0.034901781465350536,0.04262917933130699,0.09429357379990479,4.356060606060606,0.125
3773656,Atlético Madrid,15,25,58,tied,early,low,0.031462585034013606,0.02267484183554278,0.048851211583924345,0.1066640157723431,5.247983870967742,0.09353741496598639
3773656,Barcelona,20,30,55,tied,early,low,0.03316326530612245,0.019038714618060712,0.027787628053585502,0.06500371528912009,4.783475783475783,0.07100340136054421
3773656,Atlético Madrid,20,30,61,tied,early,low,0.03826530612244898,0.03867599732739494,0.01972517730496454,0.1046205617135043,4.04,0.06590136054421769
3773656,Barcelona,25,35,47,tied,early,low,0.031462585034013606,0.02088192673890933,0.022163120567375887,0.14506579098886854,3.4123076923076923,0.1143707482993197
3773656,Atlético Madrid,25,35,74,tied,early,low,0.04336734693877551,0.021104954575313462,0.054168939807237686,0.0823634895492625,4.882882882882883,0.10246598639455781
3773656,Barcelona,30,40,61,tied,middle,low,0.034013605442176874,0.04758090643746207,0.020390070921985817,0.08233787762273884,4.366666666666666,0.07015306122448979
3773656,Atlético Madrid,30,40,89,tied,middle,low,0.04591836734693878,0.04248480424306414,0.025269539365284043,0.11543670735353756,3.386206896551724,0.12074829931972789
3773656,Barcelona,35,45,76,tied,middle,low,0.039965986394557826,0.03458377536876574,0.04078942383463661,0.07328963721717938,5.451612903225806,0.1058673469387755
3773656,Atlético Madrid,35,45,64,tied,middle,low,0.03571428571428571,0.023680684135175843,0.032268775693207095,0.10239982848740976,4.140394088669951,0.08928571428571429
